effective_liability,unsafe_replicator,unsafe_sml
0.01,1.0000000000000004,0.9961998756881689
0.010446857834558834,1.0000000000000004,0.9961807265176069
0.01091368386154833,1.0000000000000004,0.9961606195717948
0.011401370375291448,1.0000000000000004,0.9961395021532196
0.011910849542982048,1.0000000000000004,0.9961173182216813
0.012443095186435351,1.0000000000000004,0.9960940081423209
0.012999124643457347,1.0000000000000004,0.9960695084111452
0.013580000712390914,1.0000000000000004,0.9960437513557479
0.014186833683555557,1.0000000000000004,0.9960166648086234
0.014820783461463555,1.0000000000000004,0.9959881717501945
0.015483061781869053,1.0000000000000004,0.9959581899183111
0.016174934527887718,1.0000000000000004,0.9959266313806052
0.016897724149614005,1.0000000000000004,0.9958934020656321
0.017652812191860906,1.0000000000000004,0.9958584012482461
0.018441641934853783,1.0000000000000004,0.9958215209840752
0.0192657211529256,1.0000000000000004,0.9957826454873264
0.020126624996486667,1.0000000000000004,0.9957416504454147
0.021025999002777438,1.0000000000000004,0.9956984022630693
0.021965562241159163,1.0000000000000004,0.9956527572276178
0.022947110598954344,1.0000000000000004,0.9956045605860508
0.023972520214117412,1.0000000000000004,0.9955536455232121
0.02504375106129725,1.0000000000000004,0.9954998320290285
0.026162850698145432,1.0000000000000004,0.9954429256410263
0.02733195817903137,1.0000000000000004,0.995382716046484
0.028553308143644828,1.0000000000000004,0.9953189755263709
0.029829235088300855,1.0000000000000004,0.9952514572206806
0.031162177828111308,1.0000000000000004,0.9951798931918321
0.03255468415855202,1.0000000000000004,0.9951039922594114
0.03400941572533576,1.0000000000000004,0.9950234375755687
0.03552915311189921,1.0000000000000004,0.9949378839057937
0.03711680115422848,1.0000000000000004,0.9948469545744357
0.0387753944931814,1.0000000000000004,0.9947502380280813
0.04050810337492019,1.0000000000000004,0.9946472839626015
0.04231823971054039,1.0000000000000004,0.9945375989511063
0.044209263406479786,1.0000000000000004,0.994420641499998
0.046184788977805834,1.0000000000000004,0.9942958164484914
0.04824859245702374,1.0000000000000004,0.9941624686130421
0.05040461861160947,1.0000000000000004,0.9940198755616672
0.05265698848406425,1.0000000000000004,0.9938672393836935
0.05501000726890209,1.0000000000000004,0.9937036772973974
0.057468172541626825,1.0000000000000004,0.9935282109106082
0.060036182855427306,1.0000000000000004,0.9933397539167237
0.06271894672202273,1.0000000000000004,0.9931370979697133
0.06552159199382415,1.0000000000000004,0.9929188964351849
0.0684494756653449,1.0000000000000004,0.9926836456589428
0.0715081941125953,1.0000000000000004,0.9924296633276608
0.07470359379003197,1.0000000000000004,0.9921550634159944
0.07804178240550966,1.0000000000000004,0.9918577271176919
0.0815291405945934,1.0000000000000004,0.9915352690414739
0.08517233411654768,1.0000000000000004,0.9911849978112117
0.0889783265953119,1.0000000000000004,0.9908038700388074
