,AS,AU,CS,CAS
AS,58.99999999999982,5.3999999999998956,58.99999999999982,8.599999999999826
AU,12.159999999999954,6.799999999999963,11.839999999999963,6.799999999999963
CS,58.99999999999982,16.599999999999653,58.99999999999982,22.3555555555554
CAS,97.44797370072247,6.799999999999963,46.557019130941995,6.799999999999963
