effective_liability,strict_nash,nss,unsafe_replicator,unsafe_sml
0.0,,AU+CAS,0.9999999999999998,0.9981152792102551
0.3,,AU,0.6956692491945029,0.9535858862385199
1.0,,AU+CS,0.0916458873588541,0.20537712170783748
3.0,,CS,7.395660281115856e-29,0.0412921970359808
5.0,,CS,0.2969007818575601,0.02835664650859959
20.0,,CS,0.02718504212374943,6.6933390267028e-17
45.0,,AS+CS,1.1167467249361006e-29,6.64151534936639e-17
