beta,effective_liability,unsafe
0.002,0.01,0.614081293549785
0.002,0.01102684164171709,0.6139847269137093
0.002,0.012159123659150603,0.613878237462128
0.002,0.013407673109150935,0.6137608047904964
0.002,0.014784428815851597,0.6136313033976879
0.002,0.016302555531563446,0.6134884918271939
0.002,0.017976569820184907,0.6133310006792977
0.002,0.019822478866844965,0.6131573193754506
0.002,0.021857933541098305,0.6129657815433122
0.002,0.024102397177286745,0.6127545488767304
0.002,0.02657733168597099,0.6125215933092256
0.002,0.0293064027760592,0.6122646773220531
0.002,0.032315706249998286,0.6119813321884512
0.002,0.035634017535897816,0.6116688339341534
0.002,0.03929306684265152,0.6113241767701935
0.002,0.04332784256913226,0.6109440437274366
0.002,0.04777692586870702,0.610524774192692
0.002,0.05268285956822887,0.6100623280134895
0.002,0.058092554969168,0.6095522458023152
0.002,0.06405774042077604,0.6089896050310324
0.002,0.07063545595461176,0.6083689714620217
0.002,0.0778885987101986,0.6076843454141132
0.002,0.08588652436726103,0.6069291023083625
0.002,0.09470571033552629,0.606095926881291
0.002,0.10443048704361778,0.6051767403913003
0.002,0.11515384431973616,0.6041626200781789
0.002,0.12697832057486735,0.6030437100668691
0.002,0.1400169832910249,0.6018091228362941
0.002,0.15439451019010794,0.6004468303046682
0.002,0.17024838142167958,0.5989435435179657
0.002,0.18773019416955106,0.5972845798735203
0.002,0.20700711224764404,0.5954537167741931
0.002,0.22826346454639249,0.5934330306014285
0.002,0.2517025076142773,0.591202719934004
0.002,0.27754836922857257,0.5887409120457604
0.002,0.30604819154002944,0.5860234519212425
0.002,0.33747449428458043,0.5830236733754957
0.002,0.3721277806594627,0.579712152411395
0.002,0.4103394107815527,0.5760564437729022
0.002,0.452474770204368,0.5720208028600409
0.002,0.4989367637915896,0.5675658968991539
0.002,0.5501696683560663,0.5626485116898925
0.002,0.6066633809038353,0.5572212636091837
0.002,0.6689581031055287,0.5512323311317195
0.002,0.7376495067888118,0.5446252262796152
0.002,0.8133944298450944,0.5373386345545287
0.002,0.8969171570156615,0.5293063624877917
0.002,0.9890163456150802,0.5204574454135965
0.002,1.0905726624167222,0.5107164847644935
0.002,1.202557204725499,0.5000043041591131
0.002,1.326040786161403,0.4882390362680281
0.002,1.4622041759459834,0.47533777633224616
0.002,1.6123493896013783,0.46121895999472634
0.002,1.7779121390253618,0.44580563694924463
0.002,1.9604755609919151,0.4290298084469833
0.002,2.1617853553514332,0.41083796227822106
0.002,2.383766477684335,0.39119785563682336
0.002,2.6285415460258905,0.37010644442307933
