effective_liability,Z,beta,mu,mean_exit_steps,mean_exit_generations,stationary_unsafe_mass,stationary_unsafe_frequency
10.0,30,0.02,0.03333333333333333,1961.9391138892986,65.39797046297662,0.2906433158343229,0.0935695416700753
10.0,30,0.05,0.03333333333333333,4042.714167062997,134.7571389020999,0.47597312673031095,0.10477046564121807
10.0,30,0.2,0.03333333333333333,636383.803448872,21212.79344829573,0.9419699287793482,0.14282272671192353
10.0,50,0.02,0.02,7403.956952812467,148.07913905624935,0.31641652967901174,0.08718734034493496
10.0,50,0.05,0.02,29548.78360002744,590.9756720005488,0.6355237060020258,0.11603049936404577
10.0,50,0.2,0.02,415693177.60736203,8313863.55214724,0.9800395461574517,0.13679148586117598
10.0,80,0.02,0.0125,31336.604909710823,391.7075613713853,0.390682174162582,0.09337603457909117
10.0,80,0.05,0.0125,433928.6765933819,5424.108457417274,0.7681042828830186,0.125371337049791
10.0,80,0.2,0.0125,6557566305428.849,81969578817.86061,0.991512914615539,0.13326745545972432
10.0,100,0.02,0.01,70891.56268616467,708.9156268616467,0.46412827346723384,0.09992600189463063
10.0,100,0.05,0.01,2482077.445591078,24820.77445591078,0.8326986605907266,0.12712788536852612
10.0,100,0.2,0.01,3882382636528804.0,38823826365288.04,0.9966799337972918,0.13209239298797049
