effective_liability,Z,beta,mu,freq_AS,freq_CS,freq_CAS,unsafe
0.0,50,0.05,0.02,0.023564206864236725,0.1424272350261216,0.8340085581096415,0.8173950576564041
0.0,100,0.05,0.01,0.01198209982623946,0.10931043223930872,0.8787074679344521,0.8696964569939575
1.0,50,0.05,0.02,0.05474703355765954,0.4580436215685997,0.48720934487374024,0.46663733273315466
1.0,100,0.05,0.01,0.04725060741204043,0.6588826823349143,0.2938667102530463,0.2830278735685347
3.0,50,0.05,0.02,0.16107022801269516,0.6174508672568889,0.22147890473041595,0.18577820880306317
3.0,100,0.05,0.01,0.15112050504087982,0.7175414373755629,0.13133805758355752,0.10927591179054283
5.0,50,0.05,0.02,0.31046276782639415,0.3969758854428564,0.29256134673074913,0.19957859591566093
5.0,100,0.05,0.01,0.34211153510163383,0.30196091774522144,0.3559275471531455,0.23635335476497976
10.0,50,0.05,0.02,0.6188173040486764,0.11731336379571695,0.26386933215560526,0.1160304993640503
10.0,100,0.05,0.01,0.6649673707061505,0.03311176160680022,0.3019208676870457,0.12712788536852876
45.0,50,0.05,0.02,0.7838068325956207,0.19911511049436428,0.01707805691001503,0.00455005526722712
45.0,100,0.05,0.01,0.8037619481631598,0.18659236262915502,0.009645689207682493,0.002368204475696816
