seed_share,effective_liability,unsafe_full,unsafe_filtered,gap
0.01,0.0,1.0000000000000004,1.0000000000000004,0.0
0.01,0.3,0.5769847154581226,0.5769847154581226,0.0
0.01,1.0,4.1707437089294636e-24,4.69304537395588e-24,5.2230166502641605e-25
0.01,5.0,0.30572516125774285,0.3058144934437761,8.933218603324189e-05
0.01,10.0,0.11182259194002941,0.11193802026554146,0.00011542832551204862
0.01,45.0,6.548805019084402e-29,1.4822733784426473e-29,5.066531640641755e-29
0.05,0.0,1.0000000000000009,1.0000000000000004,4.440892098500626e-16
0.05,0.3,0.5769847154581216,0.5769847154581226,9.992007221626409e-16
0.05,1.0,3.835958984770347e-24,4.69304537395588e-24,8.570863891855328e-25
0.05,5.0,0.30534058516654217,0.3058144934437761,0.00047390827723392537
0.05,10.0,0.11312721118338837,0.11193802026554146,0.0011891909178469023
0.05,45.0,5.166778625561845e-29,1.4822733784426473e-29,3.6845052471191984e-29
0.1,0.0,1.0000000000000004,1.0000000000000004,0.0
0.1,0.3,0.5769847154581226,0.5769847154581226,0.0
0.1,1.0,3.684196393377015e-24,4.69304537395588e-24,1.0088489805788648e-24
0.1,5.0,0.3047871798070959,0.3058144934437761,0.0010273136366801827
0.1,10.0,0.11435988095923762,0.11193802026554146,0.002421860693696154
0.1,45.0,1.0309638657313052e-34,1.4822733784426473e-29,1.48226306880399e-29
0.2,0.0,1.0000000000000009,1.0000000000000004,4.440892098500626e-16
0.2,0.3,0.5887047384248388,0.5769847154581226,0.01172002296671626
0.2,1.0,3.858415203272326e-24,4.69304537395588e-24,8.346301706835536e-25
0.2,5.0,0.30824849806799093,0.3058144934437761,0.002434004624214836
0.2,10.0,0.11469025501834718,0.11193802026554146,0.002752234752805713
0.2,45.0,2.02148633585298e-33,1.4822733784426473e-29,1.482071229809062e-29
0.35,0.0,1.0,1.0000000000000004,4.440892098500626e-16
0.35,0.3,0.6962725166374764,0.5769847154581226,0.11928780117935378
0.35,1.0,3.581900358497025e-24,4.69304537395588e-24,1.1111450154588544e-24
0.35,5.0,0.31002020876307423,0.3058144934437761,0.004205715319298142
0.35,10.0,0.11577611715823816,0.11193802026554146,0.0038380968926966935
0.35,45.0,1.7229049689070972e-30,1.4822733784426473e-29,1.3099828815519375e-29
