,AS,AU,CS,CAS
AS,0.0,0.0,0.0,0.0
AU,8.999999999999826,8.999999999999826,8.999999999999826,8.999999999999826
CS,0.0,7.999999999999826,0.0,4.222222222222135
CAS,1.0,8.999999999999826,4.777777777777691,8.999999999999826
