cs_fraction,barrier
0.0,42.76531580048175
0.005,41.77554855331616
0.01,40.82181137724653
0.015,39.90217206025826
0.02,39.01483412423857
0.025,38.158125111898755
0.03,37.33048606604552
0.035,36.530462061957756
0.04,35.756693671903754
0.045,35.00790925645739
0.05,34.28291799066071
0.055,33.580603544585365
0.06,32.899918347755104
0.065,32.23987837544957
0.07,31.599558402316614
0.075,30.978087675146003
0.08,30.374645962244855
0.085,29.788459941722707
0.09,29.218799895245137
0.095,28.66497667753309
0.1,28.126338935145405
0.105,27.602270550944812
0.11,27.092188293167162
0.115,26.59553965023416
0.12,26.111800834411028
0.125,25.640474939144877
0.13,25.181090236456246
0.135,24.7331986021204
0.14,24.29637405758644
0.145,23.87021141866208
0.15,23.454325041952917
0.155,23.04834766090465
0.16,22.6519293040639
0.165,22.264736288860778
0.17,21.886450284832833
0.17500000000000002,21.516767440762706
0.18,21.15539757069946
0.185,20.802063394280516
0.19,20.456499827174802
0.195,20.118453317830816
0.2,19.787681227042338
0.20500000000000002,19.46395124714103
0.21,19.147040857894392
0.215,18.83673681643095
0.22,18.53283467873556
0.225,18.23513835045858
0.23,17.943459664964838
0.23500000000000001,17.657617986714644
0.24,17.377439838219995
0.245,17.10275854895721
0.25,16.833413924742953
0.255,16.569251936195528
0.26,16.310124425008304
0.265,16.055888826858492
0.27,15.806407909862195
0.275,15.561549527567736
0.28,15.321186385552982
0.28500000000000003,15.08519582076054
0.29,14.853459592767114
0.295,14.625863686240727
0.3,14.40229812389241
0.305,14.182656789277624
0.31,13.966837258847532
0.315,13.754740642691731
0.32,13.546271433452073
0.325,13.341337362922722
0.33,13.139849265883967
0.335,12.941720950747772
0.34,12.746869076620637
0.34500000000000003,12.55521303641551
0.35000000000000003,12.366674845668266
0.355,12.181179036736594
0.36,11.998652558079721
0.365,11.819024678336596
0.37,11.642226894937897
0.375,11.468192847003818
0.38,11.296858232294996
0.385,11.12816072799817
0.39,10.962039915141634
0.395,10.79843720644788
0.4,10.637295777442445
0.405,10.47856050064877
0.41000000000000003,10.322177882709054
0.41500000000000004,10.168096004280354
0.42,10.0162644625641
0.425,9.866634316335414
0.43,9.719158033346263
0.435,9.57378943998369
0.44,9.43048367307117
0.445,9.289197133707354
0.45,9.149887443042456
0.455,9.012513399898033
0.46,8.877034940141158
0.465,8.743413097728794
0.47000000000000003,8.611609967342858
0.47500000000000003,8.48158866854067
0.48,8.353313311349572
0.485,8.226748963238304
0.49,8.10186161740131
0.495,7.978618162295425
0.5,7.8569863523716945
0.505,7.736934779947928
0.51,7.618432848170482
0.515,7.501450745016362
0.52,7.385959418289241
0.525,7.27193055156537
0.53,7.1593365410475
0.535,7.048150473287116
0.54,6.938346103737205
0.545,6.829897836099641
0.55,6.722780702433081
0.555,6.616970343988863
0.56,6.512442992744037
0.5650000000000001,6.409175453602128
0.5700000000000001,6.30714508723359
0.5750000000000001,6.206329793529335
0.58,6.106707995641916
0.585,6.008258624590137
0.59,5.91096110440407
0.595,5.81479533778842
0.6,5.719741692283289
0.605,5.625780986902331
0.61,5.532894479229158
0.615,5.441063852953807
0.62,5.350271205831835
0.625,5.260499038049416
0.63,5.171730240978569
0.635,5.083948086307332
0.64,4.997136215530382
0.645,4.911278629786219
0.65,4.826359680027684
0.655,4.742364057513087
0.66,4.659276784605835
0.665,4.577083205870948
0.67,4.495768979457328
0.675,4.415320068755152
0.68,4.3357227343181926
0.685,4.2569635260413
0.6900000000000001,4.179029275583696
0.6950000000000001,4.1019070890291145
0.7000000000000001,4.025584339774184
0.705,3.9500486616368367
0.71,3.8752879421768176
0.715,3.801290316220743
0.72,3.728044159584414
0.725,3.6555380829854207
0.73,3.583760926139344
0.735,3.5127017520331227
0.74,3.442349841369411
0.745,3.372694687176007
0.75,3.3037259895746525
0.755,3.235433650703742
0.76,3.167807769789666
0.765,3.1008386383617594
0.77,3.0345167356059815
0.775,2.9688327238526626
0.78,2.90377744419383
0.785,2.8393419122257795
0.79,2.7755173139127525
0.795,2.7122950015677088
0.8,2.6496664899463465
0.805,2.5876234524506723
0.81,2.5261577174385383
0.8150000000000001,2.4652612646357235
0.8200000000000001,2.4049262216472513
0.8250000000000001,2.345144860564746
0.8300000000000001,2.285909594666767
0.835,2.2272129752091563
0.84,2.169047688302544
0.845,2.111406551874285
0.85,2.054282512712137
0.855,1.9976686435871607
0.86,1.9415581404533593
0.865,1.885944319721678
0.87,1.8308206156060882
0.875,1.7761805775395123
0.88,1.7220178676574849
0.885,1.6683262583474685
0.89,1.6150996298618379
0.895,1.562331967992619
0.9,1.5100173618061161
0.905,1.4581500014356406
0.91,1.406724175930612
0.915,1.3557342711603555
0.92,1.3051747677709802
0.925,1.2550402391937772
0.93,1.2053253497036314
0.935,1.1560248525259804
0.9400000000000001,1.1071335879909165
0.9450000000000001,1.05864648173307
0.9500000000000001,1.0105585429359416
0.9550000000000001,0.9628648626194262
0.96,0.9155606119692812
0.965,0.8686410407073448
0.97,0.822101475501365
0.975,0.7759373184132983
0.98,0.7301440453850129
0.985,0.6847172047603427
0.99,0.6396524158424796
0.995,0.5949453674857201
1.0,0.550591816720619
